Aa (architect)	Aa
Alfred Lawson	Alfred Lawson
Alfred Nobel	Nobel
Alfred Russel Wallace	Alfred Russel Wallace
Alfred the Great	Alfred the Great
Alhazen	Alhazen
Allan Dwan	Allan Dwan
Allen Ginsberg	Ginsberg
Alois Alzheimer	Alzheimer
Alp Arslan	Alp Arslan
Alvar Aalto	Alvar Aalto
Alvar Aalto	Hugo Alvar Henrik Aalto
Alvin Toffler	Alvin Toffler
Amalasuntha	Amalasuntha
Amalric of Bena	Amalric
Amalric of Jerusalem	Amalric
Ambrose	Ambrose
Ambrose of Alexandria	Ambrose of Alexandria
Ambrosius Bosschaert	Ambrosius Bosschaert
Amerigo Vespucci	Americus
Amitabh Bachchan	Amida
Amos Bronson Alcott	Amos Bronson Alcott
Amr Diab	Amr Diab
Amy Grant	Amy Grant
Amyntas III of Macedon	Amyntas III of Macedon
Amyntas I of Macedon	Amyntas I of Macedon
Ananda	Ananda
Anastasios II	Anastasios II
Anastasius I Dicorus	Anastasius I Dicorus
Anatole France	Anatole France
Anatoly Karpov	Karpov
Anaxagoras	Anaxagoras
Anaximander	Anaximander
Anaximenes of Miletus	Anaximenes of Miletus
Anaïs Nin	Nin
Ancus Marcius	Ancus Marcius
Anders Celsius	Anders Celsius
Andre Agassi	Andre
Andrei Sakharov	Andrei Sakharov
Andrei Tarkovsky	Andrei Tarkovsky
Andrei Tarkovsky	Concentrate (screenplay)
Andrew Carnegie	Andrew Carnegie
Andrew II of Hungary	Andrew II
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Tridgell	Tridge
Andrew Wiles	Andrew Wiles
Andrey Markov	Andrei Markov
Andronikos III Palaiologos	Andronicus
Andronikos II Palaiologos	Andronicus
Andronikos I Komnenos	Andronikos I
Andrzej Sapkowski	Andrzej Sapkowski
André-Marie Ampère	Ampere
André Gide	Andre Gide
André Weil	André Weil
André the Giant	André the Giant
Andy Warhol	Andy Warhol
Angilbert	Angilbert
Ani DiFranco	Ani DiFranco
Anita Hill	Anita Hill
Ann Druyan	Ann Druyan
Ann Widdecombe	Ann Widdecombe
Anna Kournikova	Anna Kournikova
Anne Brontë	Bronte
Ansgar	Ansgar
Anthony Hopkins	Stella Arroyave
Anthony Hopkins	Anthony Hopkins
Anthony of Saxony	Anthony of Saxony
Anthony the Great	Anthony the Great
Antipope Boniface VII	Antipope Boniface VII
Antipope John XXIII	Antipope John
Antoine Lavoisier	Lavoisier
Antoine Thomson d'Abbadie	Antoine Thomson d'Abbadie
Anton Chekhov	Anton Chekhov
Anton Drexler	Anton Drexler
Antoninus Pius	Antoninus
Antonio Canova	Antonio Canova
Apollos	Apollos
Apuleius	Apuleius
Arabian Prince	Arabian Prince
Arcadius	Arcadius
Archduke Charles, Duke of Teschen	Archduke Charles
Archimedes	Archimedes
Ardal O'Hanlon	O'Hanlon
Ariel Sharon	Arik
Ariel Sharon	Lily Sharon
Aristide Maillol	Aristide Maillol
Aristophanes	Aristophanes
Aristotle	Aristotle
Arlo Guthrie	Arlo Guthrie
Arnold Schwarzenegger	Arnold Schwarzenegger
Arnulf of Carinthia	Arnulf of Carinthia
Aron Nimzowitsch	Aaron Nimzovich
Aron Nimzowitsch	Aron Nimzowitsch
Arthur Aikin	Arthur Aikin
Arthur Eddington	Arthur Eddington
Arthur J. Stone	Arthur Stone
Arthur Jensen	Arthur Jensen
Arthur Laurents	Arthur Laurents
Arthur Miller	Arthur Miller
Arthur Phillip	Arthur Phillip
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Schopenhauer	Schopenhauer's criticism of the proofs of the parallel postulate
Arthur St. Clair	Arthur St. Clair
Arthur Wellesley, 1st Duke of Wellington	Arthur Wellesley
Arthur William à Beckett	Arthur William a Beckett
Ashoka	Asok
Athanasius of Alexandria	Athanasius of Alexandria
Atle Selberg	Atle Selberg
Attila	Attila
Attila	Attila the Hun
August Derleth	August Derleth
August Horch	August Horch
August Kekulé	Kekule
August Kekulé	Friedrich August Kekule von Stradonitz
Auguste Rodin	Auguste Rodin
Augustin-Jean Fresnel	Augustin-Jean Fresnel
Augustin-Louis Cauchy	Augustin-Louis Cauchy
Augustine of Hippo	Augustine of Hippo
Augustine of Hippo	St. Augustine
Augustus	Sebaste
Aung San Suu Kyi	Aung San Suu Kyi
Aurel Stein	Aurel Stein
Axayacatl	Axayacatl
Ayn Rand	Ayn
B. F. Skinner	B. F. Skinner
Babe Ruth	Babe
Babe Ruth	Babe Ruth Birthplace Museum
Babrak Karmal	Babrak Karmal
Babur	Babur
Bal Thackeray	Bal Thackeray
Barb Wire	Barb wire
Barbara Olson	Barbara Olson
Barnabas	Barnabas
Barry Bonds	Barry Bonds
Barry Goldwater	Barry Goldwater
Baruch Spinoza	Baruch Spinoza
Barış Manço	Barıs
Batman	Batman (comics)
Batman	Matches Malone
Bayezid I	Bayezid I
Bayezid II	Veli
Beatrix Potter	Beatrix Potter
Bede	Bede
Bela Lugosi	Bela Lugosi
Bela Lugosi	Béla Lugosi
Ben Bova	Ben Bova
Benedict of Nursia	Benedict of Nursia
Benjamin D. Santer	Santer
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Lee Whorf	Benjamin Lee Whorf
Benny Andersson	Benny Andersson
Benoit Mandelbrot	Benoit Mandelbrot
Benoit Mandelbrot	Benoit Mandelbrot
Bernard Montgomery	Bernard Law Montgomery
Bernard Montgomery	Bernard Montgomery, 1st Viscount Montgomery of Alamein
Bernard of Clairvaux	Clairvaux
Bernie Federko	Bernie Federko
Berry Berenson	Berry Berenson
Bert Bell	Bert Bell
Berthe Morisot	Berthe Morisot
Bertrand Andrieu	Bertrand Andrieu
Bertrand Russell	Bertrand Russell
Big Brother (Nineteen Eighty-Four)	Big Brother (Nineteen Eighty-Four)
Bilge Khagan	Bilge Khagan
Bill Atkinson	Bill Atkinson
Bill Bixby	Bill Bixby
Bill Bryson	William Bryson
Bill Clinton	BJC
Bill Gates	Wikipedia:Help desk/Archive 21
Bill Haley	Jack Haley
Bill Joy	Bill Joy
Bill Macy	Bill Macy
Bill Mumy	Bill Mumy
Bill Oddie	Bill Oddie
Bill Schelter	Bill Schelter
Bill Walsh (American football coach)	Bill Walsh
Bill Watterson	Bill Watterson
Bille August	Bille August
Billy Bob Thornton	BBT
Billy Crystal	Billy Crystal
Bing Crosby	Bing Crosby
Bing Crosby	Bing Crosby Productions
Bjarne Stroustrup	Bjarne Stroustrup
Björn Borg	Bjorn Borg
Björn Ulvaeus	Bjoern Ulvaeus
Bjørn Lomborg	Bjørn Lomborg
Blaise Pascal	Amos Dettonville
Blaise Pascal	Blaise Pascal
Blind Blake	Blind Blake
Blind Lemon Jefferson	Blind Lemon Jefferson
Blind Willie McTell	Blind Willie McTell
Blythe Danner	Blythe Danner
Bo Diddley	Bo Diddley
Bob Costas	Costas
Bob Hawke	Bob Hawke
Bob Knight	Bob Knight
Bob Wills	Bob Wills
Bob Young (businessman)	Bob Young (businessman)
Bobby Charlton	Robert Charlton
Bodhidharma	Bodhidharma
Bohdan Khmelnytsky	Bohdan Khmelnytsky
Boris Pasternak	Boris Pasternak
Boston Corbett	Boston Corbett
Boudica	Boadicea
Bram Stoker	Dracula's Castle
Brian Aldiss	Brian Aldiss
Brian Boitano	Brian Boitano
Brian De Palma	Brian De Palma
Brian Kernighan	Brian Kernighan
Brian Lara	Brian Lara
Brigitte Bardot	Brigitte Bardot
Brion Gysin	Brion Gysin
Britney Spears	Adnan Ghalib
Britney Spears	Brit
Britney Spears	Sean Preston Federline
Brownie McGhee	Brownie
Bruce Campbell	Bruce Campbell
Bruce Perens	Bruce Perens
Bruce Sterling	Bruce Sterling
Bruno of Querfurt	Bruno of Querfurt
Buckminster Fuller	Buckminster Fuller
Bud Selig	Bud Selig
Buddy Holly	Buddy Holly
Bumin Qaghan	Bumin Qaghan
Burhanuddin Rabbani	Rabbani
Burt Lancaster	Burt Lancaster
C. L. Moore	C. L. Moore
C. Northcote Parkinson	C. Northcote Parkinson
C. S. Forester	C. S. Forester
C. S. Lewis	Clive Lewis
Caitlin Clarke	Caitlin Clarke
Caligula	Caligula
Calista Flockhart	Calista Flockhart
Calvin Coolidge	Calvin Coolidge
Calvin Coolidge	Calvin Coolidge, Jr.
Calvin and Hobbes	Calvinball
Camilla Hall	Camilla Hall
Camille Pissarro	Camille Pissarro
Camille Pissarro	Le Quai Malaquais et l'Institut
Captain America	Captain America
Captain America	Captain America
Captain America	Captain America Comics
Carl Barks	Carl Barks
Carl Friedrich Gauss	Carl Friedrich Gauss
Carl Linnaeus	Carl Linnaeus
Carl Menger	Carl Menger
Carl Rogers	Carl Rogers
Carl Sagan	Mister X
Carl von Clausewitz	Carl von Clausewitz
Carlo Collodi	Carlo Collodi
Carlo Goldoni	Carlo Goldoni
Carlos Valderrama	Carlos Valderrama
Carol Kane	Carol Kane
Carolyn Beug	Carolyn Beug
Cary Elwes	Cary
Casimir III the Great	Casimir III of Poland
Casimir III the Great	Casimir
Catherine Coleman	Catherine Coleman
Catherine of Aragon	Catherine of Aragon
Catherine of Siena	Saint Catherine of Siena Parish School
Causantín mac Cináeda	Constantine I
Ceawlin of Wessex	Ceawlin of Wessex
Cecil B. DeMille	Blount
Cecilia Beaux	Cecilia Beaux
Cem Karaca	Karaca
Cesare Borgia	Cesare Borgia
Chaim Topol	Chaim Topol
Charlemagne	Gisela
Charles Alston	Charles Alston
Charles Babbage	Charles Babbage
Charles Baudelaire	Charles Baudelaire
Charles C. Krulak	Charles C. Krulak
Charles Dickens	Charles Dickens
Charles Edward Jones	Charles Jones
Charles Evans Hughes	Justice Hughes
Charles Evers	Charles Evers
Charles F. Hockett	Charles F. Hockett
Charles Farrar Browne	Charles Farrar Browne
Charles Farrar Browne	Artemus Ward
Charles I of England	Charles I
Charles Lyell	Lyell
Charles Martel	Martel
Charles Martel	Rotrude of Trier
Charles Messier	Charles Messier
Charles Mingus	Mingus
Charles Proteus Steinmetz	Steinmetz
Charles Robert Malden	Charles Robert Malden
Charles Tupper	Tupper
Charles Williams (British writer)	Charles Williams (British writer)
Charlie Chaplin	Charlie
Charlize Theron	Charlize Theron
Charlotte Brontë	Brontëan
Chet Atkins	Chet Atkins
Chiang Kai-shek	Jieshi
Chris Cunningham	Chris Cunningham
Chris Marker	Chris Marker
Chris Morris (satirist)	Chris Morris
Chris Sarandon	Chris Sarandon
Christiaan Barnard	Christiaan Barnard
Christian Doppler	Christian Doppler
Christian Goldbach	Christian Goldbach
Christine Lavin	Christine Lavin
Christine de Pizan	Christine de Pizan
Christoph Ludwig Agricola	Christoph Ludwig Agricola
Christopher Columbus	Colombo
Christopher Guest	Christopher Guest
Christopher Marlowe	Christopher
Chuck D	Chuck D
Chuck Jones	Chuck Jones
Chuck Yeager	Chuck Yeager
Clara Petacci	Clara Petacci
Clarence Brown	Clarence Brown
Clark Ashton Smith	CAS
Clark Kent	Clark Kent
Claude Auchinleck	Claude Auchinleck
Claude Louis Berthollet	Claude Louis Berthollet
Claude Monet	Monet
Claude Piron	Piron
Claude Shannon	Claude Shannon
Claudius	Claudius
Clement Attlee	Clement Attlee
Clement Martyn Doke	Clement Martyn Doke
Clement of Alexandria	Clement of Alexandria
Clive Anderson	Clive Anderson
Fanny Kaplan	Fanni Kaplan
Farah Pahlavi	Farah Pahlavi
Farhad Aslani	Farhad Aslani
Farhad Darya	Nasher
Faria Alam	Faria Alam
