Aa (architect)	Aa
Fabricio Agosto Ramírez	Fabricio Ramirez
Ferdinand, Duke of Breisgau	Ferdinand, Duke of Breisgau
Ferdinand I, Holy Roman Emperor	Ferdinand I, Holy Roman Emperor
Ferdinand II, Archduke of Austria	Ferdinand II
Ferdinand II, Holy Roman Emperor	Ferdinand II
Ferdinand III, Grand Duke of Tuscany	Ferdinand III
Ferdinand III, Holy Roman Emperor	Ferdinand of Habsburg
Ferdinand II of León	Ferdinand II of León
Ferdinand II of Portugal	Ferdinand of Portugal
Ferdinand II of the Two Sicilies	Ferdinand II
Ferdinand I of Aragon	Ferdinand of Aragon
Ferdinand I of Naples	Ferdinand I of Naples
Ferdinand I of Portugal	Ferdinand I of Portugal
Ferdinand I of the Two Sicilies	Ferdinand III
Ferdinand VII of Spain	Ferdinand VII of Spain
Ferdinando II de' Medici, Grand Duke of Tuscany	Ferdinand II
Fernando Tobias de Carvalho	Fernando Tobias de Carvalho
Francis, Duke of Anjou	Francis
Francis, Duke of Saxe-Coburg-Saalfeld	Franz
Francis, Duke of Teck	Francis
Francis (footballer)	Francis
Francis Cook, 1st Viscount of Monserrate	Francis Cook, 1st Viscount of Monserrate
Francis García	Francis Garcia
Francis José da Silva	Francis José da Silva
Francis Richards (diplomat)	Francis Richards
Francisco Delgado Melo	Francisco Delgado Melo
Frank M. Smith, Jr.	Frank M. Smith
Frederick Muller	Frederick Muller
Frederik de Wit	Frederik de Wit
George Allen (American football coach)	George Allen
George Allen (U.S. politician)	George Allen (U.S. politician)
George Allen (footballer)	George Allen
George Allen (ice hockey)	George Allen (ice hockey)
George W. Taylor (professor)	George W. Taylor (professor)
Georges Rouget	Georges Rouget
Gerald Brom	Gerald Brom
Gerhard (cartoonist)	Gerhard
Germán Figueroa	Germán Figueroa
Gilberto da Silva Melo	Gilberto da Silva Melo
Giordano Bruno	Giordano Bruno
Godefroy de La Tour d'Auvergne	Godefroy de La Tour d'Auvergne
Gordon Fraser (actor)	Gordon Fraser (actor)
Gordon Fraser (footballer)	Gordon Fraser
Grant Williams	Grant Williams
Gustavo Breda Rodrigues	Gustavo Breda Rodrigues
Hans Christian	Hans Christian
Harris (rapper)	Harris
Heath (musician)	Heath
Helena (empress)	St. Helen
Helena (empress)	Helena of Byzantium
Helena (empress)	Helena of Constantinople
Hendrich Miller Meireles Bernardo	Hendrich Miller Meireles Bernardo
Henri Christophe	Christophe
Henrique da Silva Coutinho	Henrique da Silva Coutinho
Henry Ellis Harris	Henry Ellis Harris
Henry I, Margrave of the Saxon Ostmark	Henry I, Margrave of the Saxon Ostmark
Henry II, Duke of Lorraine	Henry II
Henry II, Holy Roman Emperor	Henry II, Holy Roman Emperor
Henry II, Landgrave of Hesse	Henry II, Landgrave of Hesse
Henry II, Margrave of Meissen	Henry II
Henry III of France	Henry III of France
Henry II of England	Cultural depictions of Henry II of England
Henry II of England	Henry II of England
Henry II of France	Henry II of France
Henry I of France	Henry I of France
Henry VII of England	Henry Tudor
Henry the Fowler	Henry I the Fowler
Henry the Fowler	Henry the Fowler
Henry the Lion	Henry XII
Hercule, Duke of Montbazon	Hercule, Duke of Montbazon
Hercules (chef)	Hercules (chef)
Hercules (wrestler)	Super Invader
Herman (Swaiko)	Herman (Swaiko)
Herman (bishop)	Herman (bishop)
Hermann Bauer	Hermann Bauer
Hermann Huppen	Hermann Huppen
Hermes Neves Soares	Hermes Neves Soares
Hermes Rodrigues Júnior	Junior
Hokusai	Hokusai
Howard E. Koch	Howard Koch
Hubert de Givenchy	Hubert de Givenchy
Humphrey, Duke of Gloucester	Humphrey of Lancaster, 1st Duke of Gloucester
Irene Doukaina Laskarina	Irene Doukaina Laskarina
Irene Komnene Doukaina	Irene Komnene Doukaina
Irene of Athens	Saint Irene
Irene of Larissa	Irene of Larissa
Isabella, Duchess of Lorraine	Isabella
Isabella d'Este, Duchess of Parma	Isabella d'Este
Isabella of Aragon, Countess of Urgell	Isabella of Aragon
Isabella of Aragon, Countess of Urgell	Isabella of Aragon
Isabella of Cyprus	Isabella of Cyprus
Isabella of Savoy	Isabella of Savoy
Israel (footballer)	Israel
Israel Delgado	Israel Delgado Andres
J.R. (musician)	J.R.
J. W. Marcel Gilbert	J. W. Marcel Gilbert
J (South Korean singer)	J (singer)
J (musician)	J
Jaak Boon	Jaak Boon
Jack Hogg	Jack Hogg
Jack Hogg (footballer, born 1931)	Jack Hogg (footballer born 1931)
Jack Stevens	Jack Stevens
Jacob Guay	Jacob Guay
Jacob van Campen	Van Kampen
James Adams (Massachusetts politician)	James Adams
James Cooper (Canadian politician)	James Cooper
James Johnston (Secretary of State)	James Johnston
Jan Bernd Bicker	Jan Bernd Bicker
Jan Janssen	Jan Janssen
Jay Johnson (ventriloquist)	Jay Johnson
Jean-François Delacroix	Jean-Francois
Jeff Farmer (wrestler)	Jeff Farmer
Jefferson Smith (politician)	Jefferson Smith
Jeremy Borash	Jeremy Borash
Jhonatan Bernardo	Mariano Bernardo
Joan du Plat Taylor	Joan du Plat Taylor
Job (comics)	Job
Johann Michael Hahn	Johann Michael Hahn
Johannes van den Bosch (chess player)	Johannes van den Bosch (chess player)
John B. Willett	John B. Willett
John C. Allen	John C. Allen
John Donald (Wisconsin politician)	John Donald (Wisconsin politician)
John H. Hoffman	John H. Hoffman
John Hogg	John Hogg
John Oponjo Benjamin	John Oponjo Benjamin
Johnson (composer)	Johnson (composer)
Jonas Jessue da Silva Júnior	Jonas Jessue da Silva Júnior
Jones Leandro	Jones Leandro
Joost van den Vondel	Joost van den Vondel
Joseph Bonnier de la Mosson	Joseph Bonnier de la Mosson
Joyce Symons	Joyce Symons
João Baptista Martins	Joao Martins
Judith Holofernes	Judith Holofernes
Judy Chamberlain	Judy Chamberlain
Jules Renard	Jules Renard
Julian (actor)	Julian (pornographic actor)
Julian (emperor)	Julian
Juliana of the Netherlands	Juliana of the Netherlands
Julien Frier	Julien Frier
Julius Weise	Julius Weise
Kam (rapper)	Kam (rapper)
Karl Arndt	Karl Arndt
Karl Werner (footballer)	Karl Werner
Kate Jacobs	Kate Jacobs
Kenneth Mitchell (politician)	Kenneth Mitchell (politician)
Krystyna Rokiczana	Christina Rokiczana
Lauren (footballer)	Lauren Etame Mayer
Laurie Davidson	Laurie Davidson
Leandro Alves da Cunha	Leandro Alves da Cunha
Leandro Mariano da Silva	Leandro Mariano da Silva
Leonardo André Pimenta Faria	Leonardo Andre Pimenta Faria
Leonardo da Vinci	Leonardo da Vinci
Leopold, Duke of Lorraine	Leopold, Duke of Lorraine
Leslie Roberts	Leslie Roberts
Lewis (baseball)	Lewis
Lewis (cat)	Lewis
Louis IV, Grand Duke of Hesse	Ludwig
Louis IV, Holy Roman Emperor	Louis IV, Holy Roman Emperor
Louis IV, Holy Roman Emperor	Schism of Louis of Bavaria
Louis V, Landgrave of Hesse-Darmstadt	Ludwig V
Louis VI, Landgrave of Hesse-Darmstadt	Louis VI, Landgrave of Hesse-Darmstadt
Louis V of France	Louis of France
Louis XIV of France	Louis of France
Louis XVII of France	Louis, Dauphin of France
Louis XVI of France	Louis of France
Louis XV of France	Louis of France
Lucebert	Lucebert
Luis Roberto García Toral	Luis Roberto Garcia Toral
Luís Romano de Madeira Melo	Luis Romano de Madeira Melo
Macula (footballer)	Macula
Magnus, Duke of Saxony	Magnus I
Magnus Olafsson	Magnus Olafsson
Mann (rapper)	Mann (rapper)
Marcian	Marcian
Marcán	Marcán
Maria, wife of Constantine V	Maria
Maria, wife of Ivan Vladislav	Maria, wife of Ivan Vladislav
Maria, wife of Leo III	Maria
Maria (Japanese singer)	Maria
Maria Asenina of Bulgaria	Maria Asenina of Bulgaria
Maria Franck	Maria Franck
Maria Gonzaga, Duchess of Montferrat	Maria Gonzaga
Maria Kanellis	Maria Kanellis
Maria Nalbandian	Nalbandian
Maria Palaiologina Kantakouzene	Maria Palaiologina Kantakouzene
Maria d'Este	Maria d'Este
Maria of Antioch	Maria of Antioch
Maria of Montferrat	Queen Mary
Marilyn Harris (actress)	Marilyn Harris (actress)
Marina, Princess of Naples	Marina
Mark Houghton	Mark Houghton
Martial	Martial
Martin (Hampshire cricketer)	Martin
Martin Hoberg Hedegaard	Martin Hoberg Hedegaard
Martina (empress)	Martina
Mary, Queen of Scots	Mary, Queen of Scots
