s	t	MFKC	Jaccard	JaroWinkler
Abdur Rahman Khan	Abdur Rahman Khan	1.0	1.0	1.0
Adolf Holzhaus	Adolf Holzhaus	1.0	1.0	1.0
Arthur Roberts (physicist)	Arthur Roberts (physicist)	1.0	1.0	1.0
Christian V of Denmark	Christian V of Denmark	1.0	1.0	1.0
Ferdinand II, Holy Roman Emperor	Ferdinand II	0.7272727272727273	0.3333333333333333	0.8541666666666666
Christoph Ludwig Agricola	Christoph Ludwig Agricola	1.0	1.0	1.0
Jules Renard	Jules Renard	1.0	1.0	1.0
Alboin	Alboin	1.0	1.0	1.0
Boss (rapper)	Boss	0.47058823529411764	0.21428571428571427	0.8384615384615384
George Allen (U.S. politician)	George Allen (U.S. politician)	1.0	1.0	1.0
Alexander I of Scotland	Cultural depictions of Alexander I of Scotland	0.8985507246376812	0.4772727272727273	0.6323417238749046
Blaise Pascal	Amos Dettonville	0.4827586206896552	0.0	0.4358974358974359
Agrippina the Younger	Agrippina the Younger	1.0	1.0	1.0
Maximilian I, Elector of Bavaria	Maximilian I of Bavaria	0.9090909090909091	0.6176470588235294	0.9039402173913043
Nicholas Harold Phillips	Nicholas Harold Phillips	1.0	1.0	1.0
Dawson (actor)	Dawson (pornographic actor)	0.8780487804878049	0.41379310344827586	0.7981481481481482
Abner Doubleday	Doubleday	0.8333333333333334	0.5	0.7555555555555555
Art Smith (chef)	Art Smith (chef)	1.0	1.0	1.0
Aristide Maillol	Aristide Maillol	1.0	1.0	1.0
David Charles (Australian politician)	David Charles	0.78	0.32432432432432434	0.8486486486486486
Hercules (chef)	Hercules (chef)	1.0	1.0	1.0
Bink (record producer)	Bink	0.3076923076923077	0.13043478260869565	0.8090909090909091
Cary Elwes	Cary	0.5714285714285714	0.2727272727272727	0.86
Bob Wills	Bob Wills	1.0	1.0	1.0
Michael North (professor)	Michael North	0.8421052631578947	0.46153846153846156	0.888
Roberto Fresnedoso	Roberto Fresnedoso	1.0	1.0	1.0
Dean Martin	Dean Martin	1.0	1.0	1.0
Leopold, Duke of Lorraine	Leopold, Duke of Lorraine	1.0	1.0	1.0
Walter James (actor)	Walter James	0.875	0.5238095238095238	0.9066666666666667
Aron Nimzowitsch	Aron Nimzowitsch	1.0	1.0	1.0
