s	t	MFKC	Jaccard	JaroWinkler
Alfonso III of Aragon	Alfonso III of Aragon	1.0	1.0	1.0
Abel Miglietti	Abel Miglietti	1.0	1.0	1.0
Wilson Constantino Novo Estrela	Wilson Constantino Novo Estrela	1.0	1.0	1.0
Edward Peck Curtis	Edward Peck Curtis	1.0	1.0	1.0
Alexander Selkirk	Selkirk	0.75	0.3333333333333333	0.5189075630252101
Philip I, Landgrave of Hesse	Philip I, Landgrave of Hesse	1.0	1.0	1.0
Amerigo Vespucci	Americus	0.7916666666666666	0.2	0.80625
Joan du Plat Taylor	Joan du Plat Taylor	1.0	1.0	1.0
John B. Willett	John B. Willett	1.0	1.0	1.0
Juliana of the Netherlands	Juliana of the Netherlands	1.0	1.0	1.0
Elektra (wrestling)	Elektra	0.6923076923076923	0.3	0.8526315789473684
Taylor Wilde	Taylor Wilde	1.0	1.0	1.0
Afonso I of Portugal	Afonso of Portugal	0.9736842105263158	0.8095238095238095	0.9572222222222222
Francis Cook, 1st Viscount of Monserrate	Francis Cook, 1st Viscount of Monserrate	1.0	1.0	1.0
Grant Williams	Grant Williams	1.0	1.0	1.0
Al Capp	Al Capp	1.0	1.0	1.0
Agatha Christie	Christie	0.782608695652174	0.4375	0.4138888888888889
Frank M. Smith, Jr.	Frank M. Smith	0.9393939393939394	0.65	0.9385964912280702
Sir Francis Cook, 4th Baronet	Sir Francis Cook	0.8444444444444444	0.5	0.8954022988505748
Adonis (musician)	Adonis	0.6956521739130435	0.2777777777777778	0.8490196078431372
C. S. Forester	C. S. Forester	1.0	1.0	1.0
Ricardo León Brito	Ricardo Leon Brito	0.9722222222222222	0.7142857142857143	0.9260348583877995
Socrates	Socrates	1.0	1.0	1.0
Adolphe Sax	Adolphe Sax	1.0	1.0	1.0
Brigitte Bardot	Brigitte Bardot	1.0	1.0	1.0
Alexander II of Scotland	Cultural depictions of Alexander II of Scotland	0.9014084507042254	0.4888888888888889	0.5946217494089835
Sidney Moraes	Sidney Moraes	1.0	1.0	1.0
Robert de Pinho de Souza	Robert	0.5333333333333333	0.21739130434782608	0.825
Irene Komnene Doukaina	Irene Komnene Doukaina	1.0	1.0	1.0
Alexander I of Scotland	Alexander I of Scotland	1.0	1.0	1.0
Russell Smith (politician)	Russell Smith	0.8205128205128205	0.4444444444444444	0.8833333333333334
Amyntas I of Macedon	Amyntas I of Macedon	1.0	1.0	1.0
Bill Bixby	Bill Bixby	1.0	1.0	1.0
Luis Roberto García Toral	Luis Roberto Garcia Toral	0.98	0.7857142857142857	0.9813333333333333
Wilhelm II, German Emperor	Wilhelm II, German Emperor	1.0	1.0	1.0
Albert the Bear	Albert the Bear	1.0	1.0	1.0
Adalbert of Prague	Adalbert of Prague	1.0	1.0	1.0
Christian I, Elector of Saxony	Christian I	0.7073170731707317	0.3225806451612903	0.8522222222222222
Yoshi Tatsu	Yoshi Tatsu	1.0	1.0	1.0
Capitão (footballer)	Capitão (footballer)	1.0	1.0	1.0
Max Winter	Max Winter	1.0	1.0	1.0
Carolyn Beug	Carolyn Beug	1.0	1.0	1.0
Bill Bryson	William Bryson	0.88	0.3888888888888889	0.8744588744588745
Brian Lara	Brian Lara	1.0	1.0	1.0
Camille Pissarro	Le Quai Malaquais et l'Institut	0.574468085106383	0.0	0.4694593787335723
Roberto García Cabello	Roberto García	0.9166666666666666	0.5652173913043478	0.9151515151515152
Abd al-Rahman I	Abd al-Rahman I	1.0	1.0	1.0
Taylor Wilde	Shantelle Malawski	0.5333333333333333	0.0	0.4648148148148148
Alfonso V of Aragon	Alfonso V of Aragon	1.0	1.0	1.0
Christian Cage	Christian	0.8695652173913043	0.5333333333333333	0.9166666666666666
Dante Alighieri	Dante Alighieri	1.0	1.0	1.0
Peter von Hess	Peter von Hess	1.0	1.0	1.0
Ahmed al-Nami	Ahmed al-Nami	1.0	1.0	1.0
Antonio Canova	Antonio Canova	1.0	1.0	1.0
Henry Ellis Harris	Henry Ellis Harris	1.0	1.0	1.0
Alan Ayckbourn	Alan Ayckbourn	1.0	1.0	1.0
Daniele da Volterra	Daniele da Volterra	1.0	1.0	1.0
George Allen (footballer)	George Allen	0.8378378378378378	0.44	0.8786666666666667
Roberto Andrade Silva	Roberto Andrade Silva	1.0	1.0	1.0
Luís Romano de Madeira Melo	Luis Romano de Madeira Melo	0.9814814814814815	0.8	0.9802469135802468
Princess Maria of Romania (1870–1874)	Princess Maria of Romania (1870-1874)	0.972972972972973	0.8421052631578947	0.9873873873873874
Batman	Matches Malone	0.4	0.0	0.5714285714285715
Charlize Theron	Charlize Theron	1.0	1.0	1.0
Julian (emperor)	Julian	0.5454545454545454	0.29411764705882354	0.8541666666666666
Albert Pike	Albert Pike	1.0	1.0	1.0
Albert Brooks	Albert Brooks	1.0	1.0	1.0
Chris Sarandon	Chris Sarandon	1.0	1.0	1.0
Batman	Batman (comics)	0.6190476190476191	0.3125	0.86
Anthony da Silva	Anthony Silva	0.9655172413793104	0.7058823529411765	0.9113782051282051
Christopher Guest	Christopher Guest	1.0	1.0	1.0
Corneille (singer)	Corneille	0.8148148148148148	0.42105263157894735	0.8833333333333334
Abbas Mirza	Abbas Mirza	1.0	1.0	1.0
Alexei Petrovich, Tsarevich of Russia	Alexius	0.5	0.07692307692307693	0.7711711711711711
Clive Anderson	Clive Anderson	1.0	1.0	1.0
Joyce Symons	Joyce Symons	1.0	1.0	1.0
Jaak Boon	Jaak Boon	1.0	1.0	1.0
Anastasios II	Anastasios II	1.0	1.0	1.0
Ambrosius Bosschaert	Ambrosius Bosschaert	1.0	1.0	1.0
Alain Connes	Alain Connes	1.0	1.0	1.0
Chris Morris (satirist)	Chris Morris	0.8571428571428571	0.47619047619047616	0.8884057971014493
Aimery of Cyprus	Amalric II of Jerusalem	0.6923076923076923	0.08333333333333333	0.6679100790513834
Mary, Queen of Scots	Mary, Queen of Scots	1.0	1.0	1.0
Mary Stuart (actress)	Mary Stuart	0.8125	0.45454545454545453	0.888888888888889
Buckminster Fuller	Buckminster Fuller	1.0	1.0	1.0
Michelangelo	Michelangelo	1.0	1.0	1.0
Charles Williams (British writer)	Charles Williams (British writer)	1.0	1.0	1.0
Charles Proteus Steinmetz	Steinmetz	0.6176470588235294	0.3076923076923077	0.45148148148148143
Hokusai	Hokusai	1.0	1.0	1.0
Napoleon (actor)	Napoleon	0.75	0.4117647058823529	0.8833333333333334
Jacob Guay	Jacob Guay	1.0	1.0	1.0
Burhanuddin Rabbani	Rabbani	0.6923076923076923	0.3	0.5288220551378445
Albert Hall (footballer, born 1918)	Albert Hall (footballer born 1918)	0.9855072463768116	0.8611111111111112	0.9933333333333334
Aurel Stein	Aurel Stein	1.0	1.0	1.0
Chris Cunningham	Chris Cunningham	1.0	1.0	1.0
Piers Baron (musician)	Piers Baron	0.8484848484848485	0.43478260869565216	0.8833333333333334
B.G. (rapper)	B.G.	0.47058823529411764	0.21428571428571427	0.8384615384615384
Jack Hogg (footballer, born 1931)	Jack Hogg (footballer born 1931)	0.9846153846153847	0.8571428571428571	0.992929292929293
Ahmad Shah Massoud	Ahmad Shah	0.8214285714285714	0.47368421052631576	0.8962962962962963
Charles Edward Jones	Charles Jones	0.8787878787878788	0.5714285714285714	0.9183333333333333
Roberto de Sousa Rezende	Roberto de Sousa Rezende	1.0	1.0	1.0
Abel, King of Denmark	Abel, King of Denmark	1.0	1.0	1.0
Arthur J. Stone	Arthur Stone	0.9259259259259259	0.6875	0.9533333333333333
Martin Hoberg Hedegaard	Martin Hoberg Hedegaard	1.0	1.0	1.0
Roberto Santamaría Calavia	Roberto Santamaria Calavia	0.9807692307692307	0.7931034482758621	0.9447179487179488
Svein Koningen	Svein Koningen	1.0	1.0	1.0
Emily Stevens (actress)	Emily Stevens (actress)	1.0	1.0	1.0
Jay Johnson (ventriloquist)	Jay Johnson	0.6842105263157895	0.35714285714285715	0.8617283950617284
Claude Piron	Piron	0.5882352941176471	0.3076923076923077	0.0
Matt Bloom	A Train	0.23529411764705882	0.0	0.32857142857142857
Farhad Aslani	Farhad Aslani	1.0	1.0	1.0
John C. Allen	John C. Allen	1.0	1.0	1.0
Ricardo Job Estévão	Estevao	0.5384615384615384	0.04	0.46365914786967416
Barb Wire	Barb wire	0.8888888888888888	0.5	0.9481481481481482
Cyril Mann	Cyril Mann	1.0	1.0	1.0
Judy Chamberlain	Judy Chamberlain	1.0	1.0	1.0
Mary II of England	Queen Mary	0.5714285714285714	0.07692307692307693	0.4777777777777778
Alfonso the Battler	Alfonso the Battler	1.0	1.0	1.0
Arthur Laurents	Arthur Laurents	1.0	1.0	1.0
Connie Mulder	Connie Mulder	1.0	1.0	1.0
Mark Houghton	Mark Houghton	1.0	1.0	1.0
Egotistico Fantastico	Egotistico Fantastico	1.0	1.0	1.0
Irene Doukaina Laskarina	Irene Doukaina Laskarina	1.0	1.0	1.0
George Allen (ice hockey)	George Allen (ice hockey)	1.0	1.0	1.0
Simon of Worcester	Simon of Worcester	1.0	1.0	1.0
Akira Toriyama	Akira Toriyama	1.0	1.0	1.0
William II, Landgrave of Hesse	Wilhelm II	0.6	0.1111111111111111	0.7822222222222222
Jack Hogg	Jack Hogg	1.0	1.0	1.0
James Cooper (Canadian politician)	James Cooper	0.717391304347826	0.3235294117647059	0.8490196078431372
Thomas Reap	Thomas Reap	1.0	1.0	1.0
Charles Lyell	Lyell	0.6666666666666666	0.2857142857142857	0.3512820512820513
Arthur Eddington	Arthur Eddington	1.0	1.0	1.0
Anton Drexler	Anton Drexler	1.0	1.0	1.0
Andrei Sakharov	Andrei Sakharov	1.0	1.0	1.0
Magnus, Duke of Saxony	Magnus I	0.6333333333333333	0.2	0.8117424242424243
Maria Nalbandian	Nalbandian	0.8846153846153846	0.5294117647058824	0.7416666666666667
Fabricio Agosto Ramírez	Fabricio Ramirez	0.8717948717948718	0.5	0.9042572463768117
Russell Smith (singer)	Russell Smith	0.8571428571428571	0.5217391304347826	0.9045454545454545
Gordon Fraser (actor)	Gordon Fraser (actor)	1.0	1.0	1.0
Carl Menger	Carl Menger	1.0	1.0	1.0
Abdulaziz al-Omari	Abdulaziz al-Omari	1.0	1.0	1.0
Aldous Huxley	Aldous Huxley	1.0	1.0	1.0
Gerald Brom	Gerald Brom	1.0	1.0	1.0
Alaina Johnson	Alaina Johnson	1.0	1.0	1.0
Antoine Thomson d'Abbadie	Antoine Thomson d'Abbadie	1.0	1.0	1.0
Newton Santos de Oliveira	Newton Santos de Oliveira	1.0	1.0	1.0
Captain America	Captain America	1.0	1.0	1.0
Bernard Montgomery	Bernard Montgomery, 1st Viscount Montgomery of Alamein	0.8333333333333334	0.3695652173913043	0.8444444444444443
Oliver Cuadrado Martín	Oliver Cuadrado Martin	0.9772727272727273	0.76	0.9787878787878788
Jean-François Delacroix	Jean-Francois	0.8611111111111112	0.3333333333333333	0.8626532887402453
Bill Clinton	BJC	0.26666666666666666	0.0	0.6499999999999999
Charlotte Brontë	Brontëan	0.7916666666666666	0.2	0.5125000000000001
Louis IV, Grand Duke of Hesse	Ludwig	0.2571428571428571	0.0	0.5663793103448276
Arthur P. Jacobs	Arthur P. Jacobs	1.0	1.0	1.0
Roger Gaúcho	Roger Roberto dos Santos	0.6666666666666666	0.16129032258064516	0.7375
Alessandro Allori	Alessandro Allori	1.0	1.0	1.0
Paul of Greece	Paul of Greece	1.0	1.0	1.0
Louis V of France	Louis of France	0.96875	0.7777777777777778	0.9492156862745098
Raphael	Raphael	1.0	1.0	1.0
Christian I of Denmark	Christian I of Denmark	1.0	1.0	1.0
Walter Schmidt (SS officer)	Walter Schmidt	0.8780487804878049	0.4642857142857143	0.8876543209876544
Christian IV of Denmark	Christian IV of Denmark	1.0	1.0	1.0
Bill Macy	Bill Macy	1.0	1.0	1.0
Victorinus	Victorinus	1.0	1.0	1.0
Wilson Roberto dos Santos	Wilson Roberto dos Santos	1.0	1.0	1.0
Henry II of England	Henry II of England	1.0	1.0	1.0
Blythe Danner	Blythe Danner	1.0	1.0	1.0
Alfred the Great	Alfred the Great	1.0	1.0	1.0
Ardal O'Hanlon	O'Hanlon	0.8181818181818182	0.4666666666666667	0.7321428571428571
Brownie McGhee	Brownie	0.7619047619047619	0.4	0.8833333333333334
Clement of Alexandria	Clement of Alexandria	1.0	1.0	1.0
Andronikos II Palaiologos	Andronicus	0.6285714285714286	0.20689655172413793	0.7946666666666666
Catherine King (radio broadcaster)	Catherine King	0.8125	0.37142857142857144	0.8627450980392156
Bing Crosby	Bing Crosby	1.0	1.0	1.0
Benjamin Franklin	Benjamin Franklin	1.0	1.0	1.0
Rudolf II, Holy Roman Emperor	Rudolf II	0.6842105263157895	0.26666666666666666	0.8390804597701149
A. E. van Vogt	A. E. van Vogt	1.0	1.0	1.0
Ariel Sharon	Lily Sharon	0.8260869565217391	0.35294117647058826	0.8560606060606061
Roberto Gomes Júnior	Junior	0.5384615384615384	0.13043478260869565	0.4777777777777778
Blind Willie McTell	Blind Willie McTell	1.0	1.0	1.0
André-Marie Ampère	Ampere	0.625	0.09090909090909091	0.5
Johann Michael Hahn	Johann Michael Hahn	1.0	1.0	1.0
Aa (architect)	Aa	0.3125	0.06666666666666667	0.7714285714285715
Akhenaton (rapper)	Akhenaton	0.7407407407407407	0.42105263157894735	0.8833333333333334
Israel (footballer)	Israel	0.68	0.25	0.8403508771929825
Apuleius	Apuleius	1.0	1.0	1.0
Joseph Bonnier de la Mosson	Joseph Bonnier de la Mosson	1.0	1.0	1.0
Roberto Alcântara Ballesteros	Roberto Alcantara Ballesteros	0.9827586206896551	0.8125	0.9505747126436781
Charles I of England	Charles I	0.7586206896551724	0.38095238095238093	0.8716666666666667
Carlos Valderrama	Carlos Valderrama	1.0	1.0	1.0
Elias Alves da Silva	Elias Alves da Silva	1.0	1.0	1.0
A. E. Housman	A. E. Housman	1.0	1.0	1.0
Bal Thackeray	Bal Thackeray	1.0	1.0	1.0
Hendrich Miller Meireles Bernardo	Hendrich Miller Meireles Bernardo	1.0	1.0	1.0
Saint Pantaleon	Saint Pantaleon	1.0	1.0	1.0
Berry Berenson	Berry Berenson	1.0	1.0	1.0
Aldona of Lithuania	Aldona	0.64	0.25	0.8403508771929825
Ferdinand, Duke of Breisgau	Ferdinand, Duke of Breisgau	1.0	1.0	1.0
Bernard Montgomery	Bernard Law Montgomery	0.95	0.7391304347826086	0.9575757575757576
Wilson Rodrigues de Moura Júnior	Wilson Rodrigues de Moura Júnior	1.0	1.0	1.0
Henry the Fowler	Henry I the Fowler	0.9705882352941176	0.7894736842105263	0.9449074074074074
Bohdan Khmelnytsky	Bohdan Khmelnytsky	1.0	1.0	1.0
Bruce Campbell	Bruce Campbell	1.0	1.0	1.0
Ferdinand I of Aragon	Ferdinand of Aragon	0.975	0.8181818181818182	0.9593567251461987
Gerhard (cartoonist)	Gerhard	0.5925925925925926	0.2857142857142857	0.8483333333333334
Leslie Roberts	Leslie Roberts	1.0	1.0	1.0
Arthur Schopenhauer	Arthur Schopenhauer	1.0	1.0	1.0
Alexios III Angelos	Alexios Angelos	0.9117647058823529	0.7	0.9508771929824562
Christiaan Barnard	Christiaan Barnard	1.0	1.0	1.0
Bruce Perens	Bruce Perens	1.0	1.0	1.0
Francis Richards (diplomat)	Francis Richards	0.8372093023255814	0.5357142857142857	0.9049382716049382
Ferdinand II of the Two Sicilies	Ferdinand II	0.75	0.3333333333333333	0.8541666666666666
Alfonso XIII of Spain	Alfonso XIII of Spain	1.0	1.0	1.0
Anton Chekhov	Anton Chekhov	1.0	1.0	1.0
Roberto Volpato	Roberto Volpato	1.0	1.0	1.0
Andronikos I Komnenos	Andronikos I	0.9090909090909091	0.5	0.9
Barış Manço	Barıs	0.5625	0.23076923076923078	0.8048484848484848
Francisco Delgado Melo	Francisco Delgado Melo	1.0	1.0	1.0
Paul Brandt	Paul Brandt	1.0	1.0	1.0
Julius Weise	Julius Weise	1.0	1.0	1.0
Philip II of Macedon	Philip II of Macedon	1.0	1.0	1.0
Ambrose	Ambrose	1.0	1.0	1.0
Casimir III the Great	Casimir	0.5714285714285714	0.2727272727272727	0.8444444444444443
Annie Lee Moss	Annie Lee Moss	1.0	1.0	1.0
Hermes Neves Soares	Hermes Neves Soares	1.0	1.0	1.0
Nora S. Unwin	Nora S. Unwin	1.0	1.0	1.0
Bjarne Stroustrup	Bjarne Stroustrup	1.0	1.0	1.0
Augustine Ahinful	Augustine Ahinful	1.0	1.0	1.0
Carey Wilson (writer)	Carey Wilson	0.8787878787878788	0.5	0.9
Paris (rapper)	Paris (rapper)	1.0	1.0	1.0
Alexander Grothendieck	Alexander Grothendieck	1.0	1.0	1.0
Bruce Sterling	Bruce Sterling	1.0	1.0	1.0
Michoel Fisher	Michael Fisher	0.9285714285714286	0.6470588235294118	0.9666666666666667
Agner Krarup Erlang	Agner Krarup Erlang	1.0	1.0	1.0
Ani DiFranco	Ani DiFranco	1.0	1.0	1.0
Carol Kane	Carol Kane	1.0	1.0	1.0
Dale Murray (musician)	Dale Murray	0.7575757575757576	0.43478260869565216	0.8833333333333334
Albert Frederick, Duke of Prussia	Albert Frederick, Duke of Prussia	1.0	1.0	1.0
Augustine of Hippo	St. Augustine	0.7419354838709677	0.2916666666666667	0.624928774928775
Hermes Rodrigues Júnior	Junior	0.5517241379310345	0.12	0.4323671497584541
Benoit Mandelbrot	Benoit Mandelbrot	1.0	1.0	1.0
Ayn Rand	Ayn	0.6363636363636364	0.2222222222222222	0.8541666666666666
Ferdinand II of Portugal	Ferdinand of Portugal	0.9555555555555556	0.8	0.9541666666666667
J (South Korean singer)	J (singer)	0.7575757575757576	0.32	0.6953140096618358
Anatoly Karpov	Karpov	0.7	0.3333333333333333	0.4920634920634921
Charles Babbage	Charles Babbage	1.0	1.0	1.0
Marcán	Marcán	1.0	1.0	1.0
Calvin and Hobbes	Calvinball	0.7407407407407407	0.22727272727272727	0.8006372549019608
Bertrand Andrieu	Bertrand Andrieu	1.0	1.0	1.0
Britney Spears	Sean Preston Federline	0.7777777777777778	0.0	0.5896103896103896
Jacob van Campen	Van Kampen	0.6923076923076923	0.23809523809523808	0.7041666666666666
Blake Williams (basketball)	Blake Williams	0.8780487804878049	0.4642857142857143	0.8876543209876544
Ferdinando II de' Medici, Grand Duke of Tuscany	Ferdinand II	0.7288135593220338	0.20833333333333334	0.8262411347517731
Hermann Huppen	Hermann Huppen	1.0	1.0	1.0
Rodrigo Fernandes Valete	Rodrigo Fernandes Valete	1.0	1.0	1.0
Bruno of Querfurt	Bruno of Querfurt	1.0	1.0	1.0
Arthur Wellesley, 1st Duke of Wellington	Arthur Wellesley	0.8035714285714286	0.39473684210526316	0.86
Björn Borg	Bjorn Borg	0.95	0.5384615384615384	0.9466666666666665
Nicholas of Arbroath	Nicholas of Arbroath	1.0	1.0	1.0
Aga Khan I	Aga Khan	0.9444444444444444	0.6363636363636364	0.9533333333333333
Buff Bagwell	Buff Bagwell	1.0	1.0	1.0
Don Callis	Don Callis	1.0	1.0	1.0
Asser	Asser	1.0	1.0	1.0
A. A. Milne	A. A. Milne	1.0	1.0	1.0
Best (Portuguese footballer)	Best (Portuguese footballer)	1.0	1.0	1.0
Camilla Hall	Camilla Hall	1.0	1.0	1.0
Philip I of France	Philippe I	0.75	0.21739130434782608	0.8237037037037037
Gustavo Breda Rodrigues	Gustavo Breda Rodrigues	1.0	1.0	1.0
Alfred Nobel	Nobel	0.7058823529411765	0.3076923076923077	0.35555555555555557
Ricardo (footballer, born 1976)	Ricardo Pereira	0.6739130434782609	0.1794871794871795	0.7811559139784946
Charles Martel	Martel	0.8	0.3333333333333333	0.5674603174603174
Claude Monet	Monet	0.6470588235294118	0.3076923076923077	0.42777777777777776
Bill Gates	Wikipedia:Help desk/Archive 21	0.5	0.0	0.48888888888888893
Antônio de Moura Carvalho	Antônio de Moura Carvalho	1.0	1.0	1.0
Ercole, Lord of Monaco	Ercole	0.6428571428571429	0.21739130434782608	0.8303030303030302
Roger (larderer)	Roger	0.7142857142857143	0.23529411764705882	0.8395833333333333
Abdülaziz of the Ottoman Empire	Abdülaziz	0.5	0.25	0.8344086021505376
William II of Württemberg	William II of Württemberg	1.0	1.0	1.0
Maria d'Este	Maria d'Este	1.0	1.0	1.0
Raphael Tessaro Schettino	Raphael Tessaro Schettino	1.0	1.0	1.0
Ahmed I	Ahmed I	1.0	1.0	1.0
Henry II, Landgrave of Hesse	Henry II, Landgrave of Hesse	1.0	1.0	1.0
Ricardo (footballer, born 1976)	Ricardo	0.5263157894736842	0.1875	0.8193548387096774
Bert Bakker	Bert Bakker	1.0	1.0	1.0
Marcian	Marcian	1.0	1.0	1.0
Alexander Fleming	Alexander Fleming	1.0	1.0	1.0
Ananda	Ananda	1.0	1.0	1.0
Wilde Gomes da Silva	Wilde Gomes da Silva	1.0	1.0	1.0
Andrew II of Hungary	Andrew II	0.7586206896551724	0.38095238095238093	0.8716666666666667
Alexander Kerensky	Alexander Kerensky	1.0	1.0	1.0
Bela Lugosi	Béla Lugosi	0.9090909090909091	0.5714285714285714	0.9454545454545455
Albert III, Duke of Saxony	Albert III	0.6666666666666666	0.3333333333333333	0.8564102564102564
Alfonso IV of Aragon	Alfonso IV of Aragon	1.0	1.0	1.0
Prince Napoléon Bonaparte	Napoleon	0.696969696969697	0.1	0.6066666666666667
Andrew Carnegie	Andrew Carnegie	1.0	1.0	1.0
Baruch Spinoza	Baruch Spinoza	1.0	1.0	1.0
Martial	Martial	1.0	1.0	1.0
Adelaide of Italy	Adelaide of Italy	1.0	1.0	1.0
Maria, wife of Constantine V	Maria	0.3939393939393939	0.13793103448275862	0.8083333333333333
Bille August	Bille August	1.0	1.0	1.0
Julian (actor)	Julian (pornographic actor)	0.9024390243902439	0.41379310344827586	0.7981481481481482
Personal life of Leonardo da Vinci	Personal life of Leonardo da Vinci	1.0	1.0	1.0
Bayezid II	Veli	0.2857142857142857	0.0	0.5666666666666667
Carl Barks	Carl Barks	1.0	1.0	1.0
Irene of Athens	Saint Irene	0.6923076923076923	0.13043478260869565	0.5868686868686869
Agnes of Merania	Agnes of Merania	1.0	1.0	1.0
Amitabh Bachchan	Amida	0.47619047619047616	0.10526315789473684	0.7783333333333333
Augustine of Hippo	Augustine of Hippo	1.0	1.0	1.0
Abd ar-Rahman V	Abd ar-Rahman V	1.0	1.0	1.0
Ferdinand III, Grand Duke of Tuscany	Ferdinand III	0.7551020408163265	0.34285714285714286	0.850925925925926
Francis José da Silva	Francis José da Silva	1.0	1.0	1.0
Alvar Aalto	Hugo Alvar Henrik Aalto	0.7647058823529411	0.36	0.4802371541501976
Prince Hermann of Saxe-Weimar-Eisenach (1886–1964)	Prince Hermann of Saxe-Weimar-Eisenach	0.875	0.7254901960784313	0.944
Antoine Lavoisier	Lavoisier	0.8076923076923077	0.4444444444444444	0.47657952069716775
Andrew Tridgell	Tridge	0.7142857142857143	0.23529411764705882	0.45555555555555555
Bob Costas	Costas	0.8125	0.45454545454545453	0.8111111111111112
Alp Arslan	Alp Arslan	1.0	1.0	1.0
Abu Bakr	Abu Bakr	1.0	1.0	1.0
Robert Pereira da Silva	Robert Pereira da Silva	1.0	1.0	1.0
Gordon Fraser (footballer)	Gordon Fraser	0.8205128205128205	0.4444444444444444	0.8833333333333334
Stephen Harris (painter)	Stephen Harris	0.9473684210526315	0.52	0.9027777777777778
Ricardo (footballer, born 1971)	Ricardo López Felipe	0.6470588235294118	0.1590909090909091	0.712644183773216
Abel Tasman	Abel Tasman	1.0	1.0	1.0
Elias Mendes Trindade	Elias Mendes Trindade	1.0	1.0	1.0
Bill Leyden	Bill Leyden	1.0	1.0	1.0
Akira Kurosawa	Akira Kurosawa	1.0	1.0	1.0
May (singer)	May (singer)	1.0	1.0	1.0
Arthur Miller	Arthur Miller	1.0	1.0	1.0
Bill Watterson	Bill Watterson	1.0	1.0	1.0
Israel Delgado	Israel Delgado Andres	0.9428571428571428	0.5909090909090909	0.9222222222222222
Aga Khan III	Aga Khan	0.85	0.5384615384615384	0.9222222222222222
Maria Kanellis	Maria Kanellis	1.0	1.0	1.0
Willibrord	Willibrord	1.0	1.0	1.0
Alfons Maria Jakob	Alfons Maria Jakob	1.0	1.0	1.0
Wilson Rodrigues Fonseca	Wilson Rodrigues Fonseca	1.0	1.0	1.0
Louis XVII of France	Louis, Dauphin of France	0.8181818181818182	0.41935483870967744	0.8172222222222223
Walter Babington Thomas	Walter Babington Thomas	1.0	1.0	1.0
Julien Frier	Julien Frier	1.0	1.0	1.0
Albert Speer	Albert Speer	1.0	1.0	1.0
Atle Selberg	Atle Selberg	1.0	1.0	1.0
Brion Gysin	Brion Gysin	1.0	1.0	1.0
Axayacatl	Axayacatl	1.0	1.0	1.0
Molière	Moliere	0.9285714285714286	0.4	0.8944444444444445
ODB (wrestler)	ODB (wrestler)	1.0	1.0	1.0
Abd-ar-Rahman III	Abd-ar-Rahman III	1.0	1.0	1.0
Albert, Duke of Prussia	Albrecht of Brandenburg	0.6956521739130435	0.09523809523809523	0.7423913043478261
Antonio Farnese, Duke of Parma	Antonio Farnese	0.8444444444444444	0.45161290322580644	0.8833333333333334
Sidney Santos de Brito	Sidney Santos de Brito	1.0	1.0	1.0
Marilyn Harris (actress)	Marilyn Harris (actress)	1.0	1.0	1.0
Ricardo (footballer, born 1980)	Ricardo Jorge Ferreira Pinto da Silva	0.7647058823529411	0.11475409836065574	0.730478865962737
C. L. Moore	C. L. Moore	1.0	1.0	1.0
Ceawlin of Wessex	Ceawlin of Wessex	1.0	1.0	1.0
